191, 1, 'F55', '';
63, 6, 'F157', '';
2, 5, 'LNK', '';
3, 2, 'DISF14', '';
4, 1, 'F10', '';
5, 1, 'M5', '';
274, 1, 'UNK', '';
7, 1, 'EX', '';
8, 1, 'F50', '';
9, 1, 'F1', '';
11, 1, 'M5', '';
12, 3, 'TM', '';
541, 9, 'F224', '';
14, 5, 'S111', '';
15, 3, 'F58', 'B';
17, 2, 'DISF15', '';
99, 5, 'F36', '';
19, 1, 'F183', '';
20, 1, 'M5', '';
21, 2, 'S12', 'B';
22, 1, 'EX', '';
23, 1, 'F50', '';
24, 3, 'DISF7', '';
26, 1, 'M5', '';
27, 2, 'S12', 'B';
28, 1, 'EX', '';
29, 1, 'F50', '';
30, 3, 'DISF9', '';
31, 2, 'DISF18', '';
41, 1, 'F24', '';
33, 1, 'M5', '';
34, 4, 'S38', '';
541, 7, 'F222', '';
36, 1, 'EX', '';
344, 5, 'F21', '';
38, 3, 'DISF8', '';
39, 1, 'F24', '';
56, 6, 'F159', '';
42, 1, 'M5', '';
43, 3, 'TM', '';
398, 5, 'S26', '';
45, 4, 'S42', '';
389, 11, 'F73', '';
47, 1, 'F1', '';
48, 1, 'F24', '';
50, 1, 'M5', '';
51, 3, 'TM', '';
125, 5, 'F36', '';
53, 1, 'EX', '';
541, 10, 'F223', '';
55, 1, 'F1', '';
56, 5, 'LNK', '';
58, 1, 'M5', '';
59, 3, 'TM', '';
60, 4, 'S42', '';
61, 1, 'F50', '';
64, 1, 'M5', '';
65, 1, 'PS', '';
66, 1, 'EX', '';
13, 2, 'S113', '';
68, 3, 'DISF3', '';
69, 5, 'LNK', '';
70, 1, 'F17', '';
71, 1, 'M5', '';
72, 4, 'S30', '';
73, 3, 'S8', '';
74, 3, 'F58', 'B';
75, 3, 'DISF3', '';
76, 7, 'F232', '';
77, 1, 'F17', '';
78, 1, 'M5', '';
79, 4, 'S30', '';
80, 3, 'S8', '';
574, 4, 'F20', 'A';
397, 1, 'PS', '';
83, 5, 'LNK', '';
85, 1, 'F10', '';
86, 1, 'M5', '';
87, 2, 'S12', 'B';
88, 4, 'S42', '';
541, 1, 'F37', '';
90, 3, 'DISF3', '';
91, 7, 'F232', '';
92, 1, 'F17', '';
93, 1, 'M5', '';
94, 2, 'S12', 'B';
95, 1, 'EX', '';
96, 6, 'F49', '';
97, 3, 'DISF2', '';
98, 1, 'F18', '';
100, 1, 'F18', '';
101, 1, 'F18', '';
102, 1, 'M5', '';
103, 4, 'S36', '';
104, 1, 'EX', '';
412, 2, 'S70', '';
106, 3, 'DISF2', '';
107, 1, 'F18', '';
108, 5, 'F36', '';
109, 1, 'F18', '';
110, 1, 'F18', '';
111, 1, 'F18', '';
112, 1, 'M5', '';
113, 4, 'S33', '';
114, 1, 'EX', '';
61, 5, 'F21', '';
116, 3, 'DISF2', '';
117, 5, 'F36', '';
129, 1, 'F50', '';
119, 1, 'F18', '';
120, 1, 'M5', '';
121, 2, 'S12', 'B';
122, 4, 'S42', '';
506, 36, 'TM', '';
124, 3, 'DISF2', '';
125, 1, 'DISF16', '';
126, 1, 'M5', '';
127, 3, 'TM', '';
128, 4, 'S42', '';
129, 2, 'F51', '';
15, 5, 'F21', '';
23, 4, 'F20', 'A';
37, 5, 'F21', '';
65, 2, 'S12', 'B';
214, 3, 'S25', '';
140, 1, 'F13', '';
141, 1, 'F14', '';
142, 1, 'F11', '';
143, 1, 'DISF25', '';
144, 1, 'M7', '';
398, 4, 'S71', '';
14, 4, 'S42', '';
147, 3, 'TM', '';
148, 1, 'F239', '';
149, 1, 'F161', '';
150, 3, 'F68', '';
151, 1, 'F13', '';
152, 1, 'F14', '';
153, 1, 'F11', '';
154, 1, 'DISF25', '';
155, 1, 'M7', '';
184, 6, 'S73', '';
533, 18, 'F192', 'B';
147, 2, 'S12', 'A';
159, 1, 'F239', '';
160, 1, 'F161', '';
161, 3, 'F68', '';
162, 1, 'F13', '';
164, 1, 'F11', '';
163, 1, 'F14', '';
165, 2, 'F6', '';
166, 1, 'M7', '';
167, 1, 'TM', '';
169, 4, 'S13', '';
169, 3, 'TM', '';
170, 1, 'F239', '';
171, 3, 'F68', '';
108, 4, 'LNK', '';
173, 1, 'F140', '';
174, 1, 'EX', '';
176, 1, 'PS', '';
177, 2, 'S7', '';
176, 2, 'S7', '';
178, 1, 'DISF29', '';
179, 1, 'M1', '';
180, 5, 'F70', '';
181, 1, 'F48', '';
183, 2, 'M8', '';
184, 1, 'PS', '';
185, 1, 'DISF29', '';
186, 1, 'M1', '';
533, 19, 'F234', '';
225, 2, 'S1', '';
175, 1, 'PS', '';
190, 3, 'F179', 'A';
191, 2, 'F16', '';
192, 1, 'M2', '';
182, 1, 'F140', '';
193, 2, 'S1', '';
194, 3, 'F62', '';
195, 1, 'F180', 'A';
196, 2, 'F16', '';
197, 1, 'M2', '';
198, 1, 'PS', '';
199, 3, 'F62', '';
200, 3, 'F178', '';
201, 1, 'F259', '';
202, 1, 'M3', '';
203, 3, 'S15', '';
204, 3, 'F62', '';
205, 3, 'F178', '';
206, 3, 'F182', '';
207, 1, 'M3', '';
214, 5, 'S14', '';
209, 5, 'F52', 'A';
210, 3, 'F179', 'B';
211, 1, 'F177', '';
212, 1, 'F176', '';
213, 1, 'M18', '';
214, 2, 'S1', '';
215, 1, 'PS', '';
216, 3, 'EX', '';
217, 1, 'IC17', '';
218, 1, 'IC18', '';
219, 1, 'IC19', '';
220, 1, 'IC20', '';
221, 5, 'F52', 'A';
222, 1, 'F8', '';
