6, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
7, 0, 1, 'prot infos NCBI', 'NCBI name : glycoprotein', 'NULL'
12, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
21, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
27, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
34, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
43, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
44, 0, 3, 'Link', 'INTERPRO: IPR001477 ; PFAM: PF01445', 'NULL'
44, 0, 2, 'Composition', 'SH protein is a membrane protein. Treatment of microsomes with TPCK-trypsin suggested that the SH protein is oriented in the membrane with its C-terminal facing the cytoplasm.', 8918542
44, 0, 1, 'Composition-Role/Function', 'Indirect immunofluorescence experiments showed that the SH protein is involved in the exocytotic pathway. Furthermore the SH protein was not detected in a particular strain (Enders strain) of mumps virus, indicating that the mumps virus SH protein is not essential for virus replication.', 8918542
51, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
59, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
64, 0, 1, 'Consult accession', 'VAZy 102 : consult information on tubulin', 14592411
65, 0, 1, 'Structure', '106-170 region (in 1G5G) : no solved structure; including cleavage site ', 'NULL'
65, 0, 2, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
68, 0, 1, 'Origine sequence', 'ncbi donne un fragment, seq de SP rentree; ', 'NULL'
72, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
74, 0, 1, 'Origine sequence', 'ncbi donne un fragment, seq de SP rentree;', 'NULL'
79, 0, 1, 'Composition-Role/Function', 'PS MODULE : The first 75 residues have a high hydrophilicity index, and they are followed by a stretch of 20 less hydrophilic residues (position 76 to 95) before another strong increase of hydrophobicity immediately upstream of a hydrophobic region (position 96 to 115) . The hydrophobic region is followed by a predicted signal peptide cleavage site,A-QIHW (position 135 to 139) . The amino acids 1 to 135 is refered as the Pre-region, a potential long signal peptide. The F protein amino-terminal extension modulates fusion function. The classical signal peptide of a type I glycoprotein is usually cleaved off cotranslationally and immediately degraded. Thus, it is not expected to have a significant influence on the biological activity of the protein. However, more complex roles for certain cellular signal peptides have been characterized, and it has been shown for other viral glycoproteins that their signal peptides are cleaved not cotranslationally but rather posttranslationally . Similar to the situation CDV, those signal peptides are unusually long and positively charged, which may delay protein processing. Consequently, reduction of the charge of these signal peptides, or replacement with short signal peptides from efficiently transported glycoproteins, leads to an increase in cleavage efficiency and subsequently to an increase of mature and active protein.The CDV F protein long amino-terminal extension has similar characteristics. The remarkable new property of this sequence is that it modulates function: mature F proteins derived from a  PreF0 precursor are less fusogenic than those derived from shorter precursors.', 11932382
79, 0, 2, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
87, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
88, 0, 1, 'prot infos NCBI', 'NCBI name : glycoprotein', 'NULL'
90, 0, 1, 'Biochemical', 'N-Tail desordonnee', 'NULL'
94, 0, 1, 'Structuration', 'There are two conserved regions of heptad repeat (HR1 and HR2) in the fusion protein. They also appear to show characteristic structure in the fusion core: the HR1/HR2 forms stable six-helix coiled-coil centered by HR1 and is surrounded by HR2 (trimer of HR1/HR2), which represents the post-fusion conformational structure. The HR1 and HR2 interact with each other and form stable six-helix coiled-coil bundle. F protein is believed to undergo series of conformational changes that expose the fusion peptide in the N-terminus of F1 and results in the fusion peptide embedding into the host cell, pullingthe cell/virus membranes into close proximity, and fusing into one single membrane. During this process,the highly conserved heptad repeat (HR) regions play animportant role. There are two major HR regions in the F protein, HR1 and HR2 (or called HR-A and HR-B insome literature), in paramyxovirus including MeV.', 12470664
94, 0, 2, 'Role', 'HR2 inhibition role in the fusion', 'NULL'
94, 0, 3, 'Consult accession', 'VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
102, 0, 2, 'Activation', 'Cellular tubulin activate in vitro transcription with Sendai virus (SeV) particles. Tubulin dissociates viral matrix (M) protein, which acts as a negative regulator for transcription, from viral ribonucleoprotein (RNP) consisting of L, P, N proteins, and the genome RNA.', 14592411
102, 0, 3, 'Biochemical', 'Both alpha and beta subunits of human tubulin, which were expressed as GST fusion proteins, were found to stimulate viral mRNA synthesis similar to native alpha/beta-heterodimer tubulin.', 14592411
102, 0, 4, 'Biochemical', 'Pull-down assay using GST-tubulin subunits demonstrated that M protein is released from the RNP as a complex with each tubulin subunit', 14592411
102, 0, 5, 'Biochemical', 'M protein directly interacts with tubulin as well as microtubules.', 14592411
102, 0, 1, 'Composition-Role/Function', 'The M protein alignment in the region encompassing the putative alpha-helix (shaded box; residues 104\96119 in SeV) emphasizes the conservation of the tetrapeptide VRRT (in bold; residues 113\96116 in SeV) at an almost identical position in all the M proteins.', 10580060
103, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
113, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
121, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
127, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
147, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
158, 0, 1, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains and VaZy 169 for HR1 stucture (PDB: 1G2C)', 'NULL'
162, 0, 1, 'Biochemical', 'The NS1 protein has been shown to coprecipitate with the M protein. (info fields)', 'NULL'
163, 0, 1, 'Localisation', 'NS2 protein colocalizes in cells with N protein.', 'NULL'
163, 0, 2, 'Biochemical', 'NS2 protein does not coprecipitate with any viral protein.', 'NULL'
163, 0, 3, 'Biochemical', 'The NS2 protein is unstable, with a half-life in infected cells of approxymately 30 minutes.', 'NULL'
169, 0, 3, 'Role', 'The single N-glycan of the F1 subunit attached to N500, however, is required for efficient syncytium formation.', 11312346
169, 0, 2, 'Role', 'N-glycosylation of the F2 subunit at N27 and N70 is of minor importance for the fusion activity of the F protein.', 11312346
169, 0, 1, 'Biochemical', 'N-GLYCOSYLATION SITES: The human respiratory syncytial virus (Long strain) fusion protein contains six potential N-glycosylation sites: N27, N70, N116, N120, N126, and N500; but the mature fusion protein contains three N-linked oligosaccharides, attached to N27, N70, and N500. ', 11312346
169, 0, 4, 'Function', '1G2C (info PDB) : This protein directs fusion of viral and cellular membranes, resulting in viral penetration, and can direct fusion of infected cells with adjoining cells, resulting in the formation of syncytia.', 'NULL'
169, 0, 5, 'Consult accession', 'VaZy 94 for HR1 and HR2 domains', 'NULL'
169, 0, 6, 'Structure', 'They show that peptides, called HR-N and HR-C, corresponding to the heptad-repeat regions from the N-terminal and C-terminal segments of the HRSV F protein, respectively, form a stable alpha-helical trimer of heterodimers.', 11106388
170, 0, 1, 'Activity', 'The protein is a transcription processivity factor that is essential for virus replication.', 12692207
170, 0, 2, 'Activity', 'RSV protein, M2-1, is known to be important for transcriptionby the RSV polymerase, particularly on longer genes. M2-1 functions as an elongation factor, allowing the complete synthesis of RSV mRNAs(1) and as an anti-termination factor to permit transit through GE and intergenic regions which allows the RSV polymerase access to promoter-distal genes(2/3/4) - pmid: 8552680 , 10364337 , 9847319 , 9420254.', 8552680
