1, 'NP_112021.1', 'NC_002728', '13559809', 'N', 'None', '1', 532, 'Reference'
2, 'NP_112022.1', 'NC_002728', '13559810', 'P/V/C', 'None', '1', 709, 'Reference'
3, 'NP_112023.1', 'NC_002728', '13559816', 'P/V/C', 'None', '1', 456, 'Reference'
4, 'NP_112024.1', 'NC_002728', '13559812', 'P/V/C', 'None', '1', 166, 'Reference'
5, 'NP_112025.1', 'NC_002728', '13559811', 'M', 'None', '1', 352, 'Reference'
6, 'NP_112026.1', 'NC_002728', '13559813', 'F', 'None', '1', 546, 'Reference'
7, 'NP_112027.1', 'NC_002728', '13559814', 'G', 'None', '1', 602, 'Reference'
8, 'NP_112028.1', 'NC_002728', '13559815', 'L', 'None', '1', 2244, 'Reference'
9, 'NP_150057.1', 'NC_003043', '15081568', 'NP', 'None', '1', 465, 'Reference'
10, 'NP_150058.1', 'NC_003043', '15081569', 'P', 'None', '1', 430, 'Reference'
11, 'NP_150059.1', 'NC_003043', '15081570', 'M', 'None', '1', 366, 'Reference'
12, 'NP_150060.1', 'NC_003043', '15081571', 'F', 'None', '1', 555, 'Reference'
13, 'NP_150061.1', 'NC_003043', '15081572', 'SH', 'None', '1', 142, 'Reference'
14, 'NP_150062.1', 'NC_003043', '15081573', 'HN', 'None', '1', 613, 'Reference'
15, 'NP_150063.1', 'NC_003043', '15081574', 'L', 'None', '1', 2241, 'Reference'
16, 'NP_054690.1', 'NC_002199', '9634969', 'N', 'None', '1', 552, 'Reference'
17, 'NP_054691.1', 'NC_002199', '9634970', 'P/V/C', 'None', '1', 527, 'Reference'
18, 'NP_054692.1', 'NC_002199', '9634971', 'P/V/C', 'None', '1', 282, 'Reference'
19, 'NP_054693.1', 'NC_002199', '9634972', 'P/V/C', 'None', '1', 153, 'Reference'
20, 'NP_054694.1', 'NC_002199', '9634973', 'M', 'None', '1', 352, 'Reference'
21, 'NP_054695.1', 'NC_002199', '9634974', 'F', 'None', '1', 553, 'Reference'
22, 'NP_054696.1', 'NC_002199', '9634975', 'H', 'None', '1', 665, 'Reference'
23, 'NP_054697.1', 'NC_002199', '9634976', 'L', 'None', '1', 2270, 'Reference'
24, 'CAA45570.1', 'X64275', '433517', 'NP', 'None', '1', 543, 'Reference'
25, 'CAA45571.1', 'X64275', '433518', 'P', 'None', '1', 225, 'Reference'
26, 'CAA45566.1', 'X64275', '433519', 'M', 'None', '1', 382, 'Reference'
27, 'CAA45567.1', 'X64275', '433520', 'F', 'None', '1', 561, 'Reference'
28, 'CAA45568.1', 'X64275', '433521', 'HN', 'None', '1', 568, 'Reference'
29, 'CAA45569.1', 'X64275', '433522', 'L', 'None', '1', 2269, 'Reference'
30, 'AAC95511.1', 'AF052755', '2981086', 'NP', 'None', '1', 509, 'Reference'
31, 'AAC95513.1', 'AF052755', '2981088', 'V/P', 'None', '1', 392, 'Reference'
32, 'AAC95512.1', 'AF052755', '2981087', 'V/P', 'None', '1', 222, 'Reference'
33, 'AAC95514.1', 'AF052755', '2981089', 'M', 'None', '1', 377, 'Reference'
34, 'AAC95515.1', 'AF052755', '2981090', 'F', 'None', '1', 529, 'Reference'
35, 'AAC95516.1', 'AF052755', '2981091', 'SH', 'None', '1', 44, 'Reference'
36, 'AAC95517.1', 'AF052755', '2981092', 'HN', 'None', '1', 565, 'Reference'
37, 'AAC95518.1', 'AF052755', '2981093', 'L', 'None', '1', 2255, 'Reference'
38, 'AAL83738.1', 'AF345290', '19070169', 'NP', 'None', '1', 549, 'Reference'
39, 'AAL83740.1', 'AF345290', '19070171', 'P', 'None', '1', 391, 'Reference'
40, 'AAL83741.1', 'AF345290', '19070172', 'V', 'None', '1', 224, 'Reference'
41, 'AAL83739.1', 'AF345290', '19070170', 'I', 'None', '1', 171, 'Reference'
42, 'AAL83742.1', 'AF345290', '19070173', 'M', 'None', '1', 375, 'Reference'
43, 'AAL83743.1', 'AF345290', '19070174', 'F', 'None', '1', 538, 'Reference'
44, 'AAL83744.1', 'AF345290', '19070175', 'SH', 'None', '1', 57, 'Reference'
45, 'AAL83745.1', 'AF345290', '19070176', 'HN', 'None', '1', 582, 'Reference'
46, 'AAL83746.1', 'AF345290', '19070177', 'L', 'None', '1', 2261, 'Reference'
47, 'NP_054707.1', 'NC_002200', '9695416', 'NP', 'None', '1', 549, 'Reference'
48, 'NP_054708.1', 'NC_002200', '9695417', 'V/P', 'None', '1', 391, 'Reference'
49, 'NP_054709.1', 'NC_002200', '9695418', 'V/P', 'None', '1', 224, 'Reference'
50, 'NP_054710.1', 'NC_002200', '9695419', 'M', 'None', '1', 375, 'Reference'
51, 'NP_054711.1', 'NC_002200', '9695420', 'F', 'None', '1', 538, 'Reference'
52, 'NP_054712.1', 'NC_002200', '9695421', 'SH', 'None', '1', 57, 'Reference'
53, 'NP_054713.1', 'NC_002200', '9695422', 'NH', 'None', '1', 582, 'Reference'
54, 'NP_054714.1', 'NC_002200', '9695423', 'L', 'None', '1', 2261, 'Reference'
55, 'NP_598401.1', 'NC_003443', '19525722', 'NP', 'None', '1', 542, 'Reference'
56, 'NP_599019.1', 'NC_003443', '19526784', 'V', 'None', '1', 395, 'Reference'
57, 'NP_598402.1', 'NC_003443', '19525723', 'V', 'None', '1', 225, 'Reference'
