'UNK', 'unknown', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
'S42', 'None', 'Hemagglutinin-neuraminidase (EC 3.2.1.18)', 'NULL', 'None', 'also known as G proteins or HN proteins; corresponds to family GH83 in CAZy; MECHANISM (probable): Retaining B=Tyr+Glu AH=not known ', 'None', 'b-propeller', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'neuraminidase', 0
'F20', 'None', '2-o-methyltransferase', 'Paramyxoviridae / Lyssavirus / Ephemerovirus / Filoviridae / Vesiculovirus', '2OMT_A', 'None', 'MTase : rossmann fold', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'methyltransferase', 0
'F17', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 1
'DISF9', 'N-tail', 'None', 'NULL', 'None', 'Ntail: function of recruitment of P (and thus, complex L-P)', 'None', 'None', 'yes', 'encapsidation of the genomic and anti-genomic ARN', 'NULL', 'NULL', 'NULL', 'NULL', 'disorder', 0
'M1', 'None', 'unknown', 'NULL', 'None', 'None', 'The VP24 is the third membrane-associated virus protein, and it has a decidedly hydrophobic profile. The role of this protein is unknown, but it may act as a minor matrix protein or function in the uncoating of the virion during infection.', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'minor matrix protein', 0
'S1', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'yes', 'None', 'G protein', 'NULL', 'Channel formed by glycoprotein spike is thought to function in a similar manner to Influenza virus M2 protein channel, thus allowing a signal to pass across the viral membrane to signal for viral uncoating.', 'NULL', 'glycoprotein', 0
'S2', 'None', 'None', 'NULL', 'None', 'None', 'Treonine rich region; PROBLEMATIC REGION : strong prediction of DISORDER REGION ', 'None', 'yes', 'virion attachment (Pneumovirus attachment glycoprotein G)', 'None', 'NULL', 'The processes involved in the specific binding of a viral antireceptor to a cell surface receptor.', 'NULL', 'glycoprotein', 0
'M7', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'M6', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'M5', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'M4', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'M3', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'M2', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'nd', 0
'S3', 'None', 'None', 'NULL', 'None', 'None', 'None', 'None', 'no', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL'
